userId|typeId|rating|itemId|cityId
9|3|5|189|125
9|3|1|190|125
9|1|2|191|8
9|1|4|192|8
9|1|2|193|8
10|1|5|194|126
10|1|4|195|127
10|3|5|196|128
10|3|4|197|129
10|3|1|198|130
10|2|4|199|131
10|1|5|200|132
10|1|5|201|133
10|3|3|202|134
10|1|4|203|135
10|3|4|204|136
10|3|5|205|137
10|3|5|206|129
10|1|4|207|128
10|3|5|208|129
10|3|5|209|129
10|2|3|210|8
10|3|4|211|138
10|2|2|212|139
10|1|1|213|139
10|1|5|214|139
10|3|5|215|139
10|1|3|216|140
10|3|4|217|140
10|1|5|218|141
10|1|5|219|142
10|3|5|220|143
10|2|5|221|144
10|2|1|222|8
10|2|4|223|8
10|3|5|224|8
10|3|4|225|34
10|3|5|226|129
10|3|3|227|129
10|3|5|228|129
10|3|3|229|129
10|1|5|230|145
10|2|4|231|146
10|3|4|232|146
10|3|3|233|129
10|3|5|234|129
10|3|1|235|129
10|3|1|236|129
10|3|3|237|129
10|3|1|238|129
10|3|5|239|147
10|1|4|240|148
10|3|3|241|149
10|3|5|242|150
10|1|4|243|149
10|3|2|244|129
10|3|3|245|151
10|1|5|246|152
10|1|1|247|152
10|3|5|248|153
10|1|5|249|154
10|1|5|250|155
10|1|4|251|34
10|1|5|252|156
11|3|5|253|157
11|3|5|254|157
11|1|4|255|154
11|3|4|256|158
11|1|5|257|158
11|3|5|258|159
11|3|5|259|159
11|1|3|260|159
11|3|5|261|157
11|3|3|262|160
11|1|5|263|160
11|3|5|264|161
11|3|5|265|162
11|3|5|266|162
11|3|5|267|162
11|1|5|268|162
11|1|2|269|163
11|1|5|270|164
11|3|5|271|157
11|3|5|272|157
11|1|5|273|157
11|3|5|272|157
11|3|5|274|8
11|1|5|275|8
11|1|5|276|165
11|1|5|277|76
11|1|2|278|166
12|3|5|279|167
12|2|5|280|167
12|1|4|281|167
12|3|5|282|167
12|3|5|283|167
12|3|4|284|168
12|3|4|285|168
12|1|4|286|169
12|2|5|287|170
12|1|3|288|68
12|1|3|289|170
13|3|5|290|171
13|3|4|291|172
13|3|5|292|173
13|3|5|293|174
13|1|5|294|173
13|3|2|295|175
13|3|4|296|175
13|3|4|297|175
13|3|4|298|175
13|3|3|299|172
13|1|3|300|176
13|3|2|301|175
13|3|4|302|175
13|3|3|303|175
